transport_mode,origin_port,destination_region,cargo_type,season,carrier_reliability,customs_complexity,lead_time_days,shipment_weight_kg,distance_km,port_congestion_idx,weather_severity,customs_days,documentation_errors,is_delayed,delay_hours,base_cost_nzd,delay_cost_nzd,total_cost_nzd
Rail,Port Otago,Christchurch,Automotive,Autumn,Medium,Moderate,14.6,658.0,346.0,4.4,2.46,3.0,0,0,0.0,1184.38,0.0,1184.38
Sea Freight,Port of Tauranga,Dunedin,Refrigerated,Autumn,Medium,Complex,34.2,810.0,1514.0,0.07,1.46,1.2,0,0,0.0,971.97,0.0,971.97
Air Cargo,Lyttelton Port,Christchurch,Pharmaceuticals,Spring,Medium,Simple,25.3,1832.2,223.0,4.84,2.74,0.6,0,0,0.0,15573.77,0.0,15573.77
Air Cargo,Lyttelton Port,Wellington,Automotive,Winter,High,Simple,11.7,239.0,1690.0,2.39,1.51,2.5,1,0,0.0,2031.56,0.0,2031.56
Sea Freight,Port of Tauranga,Dunedin,Hazardous,Summer,Low,Moderate,17.6,1719.6,733.0,3.48,3.1,1.5,1,0,0.0,2063.53,0.0,2063.53
Air Cargo,Port of Auckland,Wellington,Pharmaceuticals,Spring,Medium,Simple,11.2,2230.5,809.0,1.58,2.31,0.7,0,0,0.0,18959.15,0.0,18959.15
Sea Freight,Port of Auckland,Dunedin,Refrigerated,Autumn,Low,Moderate,18.8,125.0,878.0,5.53,0.49,3.6,0,1,50.4,150.0,3786.35,3936.35
Rail,Port of Auckland,Auckland,Refrigerated,Spring,High,Simple,31.5,1782.2,553.0,2.16,3.58,0.5,2,0,0.0,3208.04,0.0,3208.04
Sea Freight,Port Otago,Auckland,General Merchandise,Spring,Medium,Complex,27.3,290.0,2357.0,3.87,2.4,4.5,0,1,44.3,348.0,2010.58,2358.58
Sea Freight,Port of Auckland,Dunedin,Hazardous,Spring,Medium,Simple,18.5,117.6,2269.0,1.95,3.37,2.1,2,0,0.0,141.09,0.0,141.09
Sea Freight,Port of Auckland,Christchurch,Bulk,Spring,Medium,Moderate,17.7,2597.1,2182.0,6.98,2.24,1.0,1,0,0.0,3116.5,0.0,3116.5
Rail,Lyttelton Port,Dunedin,Bulk,Summer,High,Simple,15.0,448.3,311.0,3.94,2.62,0.9,1,0,0.0,807.0,0.0,807.0
Air Cargo,Port of Auckland,Tauranga,General Merchandise,Winter,Low,Simple,32.5,830.4,622.0,2.89,3.61,2.7,0,1,16.8,7058.17,906.86,7965.03
Air Cargo,Port of Tauranga,Auckland,Refrigerated,Summer,High,Simple,21.5,693.9,1550.0,3.08,2.29,7.4,0,0,0.0,5898.41,0.0,5898.41
Sea Freight,Port of Auckland,Christchurch,General Merchandise,Autumn,High,Simple,13.6,241.8,2427.0,1.81,1.32,1.4,0,0,0.0,290.17,0.0,290.17
Road,Wellington Port,Wellington,Bulk,Winter,Medium,Simple,16.5,935.9,1532.0,1.15,6.04,1.5,0,0,0.0,1965.34,0.0,1965.34
Sea Freight,Port Otago,Christchurch,General Merchandise,Summer,Medium,Complex,16.8,87.8,851.0,2.81,2.78,1.5,1,1,35.5,105.32,1952.02,2057.35
Road,Port Otago,Hamilton,Automotive,Spring,Medium,Simple,11.9,231.6,2053.0,0.21,5.01,0.6,0,0,0.0,486.39,0.0,486.39
Sea Freight,Port of Tauranga,Auckland,General Merchandise,Spring,High,Moderate,16.8,2365.5,382.0,1.49,3.0,1.1,0,0,0.0,2838.55,0.0,2838.55
Sea Freight,Lyttelton Port,Christchurch,General Merchandise,Autumn,Medium,Simple,19.3,2504.8,2210.0,6.15,0.98,2.3,0,1,62.6,3005.73,3052.07,6057.8
Sea Freight,Port of Auckland,Hamilton,Automotive,Winter,Medium,Moderate,11.3,577.2,2438.0,5.25,2.01,0.8,1,0,0.0,692.68,0.0,692.68
Air Cargo,Port of Auckland,Auckland,Refrigerated,Autumn,High,Simple,23.2,198.2,2421.0,0.68,2.38,0.8,0,0,0.0,1684.44,0.0,1684.44
Air Cargo,Port of Auckland,Hamilton,General Merchandise,Spring,Low,Moderate,12.6,488.0,412.0,0.67,2.31,4.1,0,0,0.0,4148.17,0.0,4148.17
Sea Freight,Port of Tauranga,Christchurch,Refrigerated,Winter,Low,Moderate,13.7,1726.9,1397.0,2.71,4.95,3.2,0,1,39.7,2072.3,3082.63,5154.93
Road,Port of Tauranga,Tauranga,General Merchandise,Autumn,Medium,Simple,12.5,108.3,1483.0,3.35,1.4,3.4,0,0,0.0,227.41,0.0,227.41
Air Cargo,Port of Tauranga,Wellington,Pharmaceuticals,Autumn,High,Simple,11.7,159.5,528.0,2.99,3.58,3.3,1,0,0.0,1355.34,0.0,1355.34
Air Cargo,Port of Auckland,Auckland,Hazardous,Autumn,Low,Simple,24.8,1858.0,1390.0,2.2,2.48,2.5,2,0,0.0,15793.22,0.0,15793.22
Sea Freight,Port of Tauranga,Christchurch,General Merchandise,Spring,High,Simple,26.6,479.4,1634.0,2.65,3.41,0.3,0,1,24.7,575.33,1127.34,1702.67
Sea Freight,Lyttelton Port,Auckland,Hazardous,Summer,High,Simple,13.0,119.7,856.0,2.92,2.62,6.8,0,0,0.0,143.66,0.0,143.66
Air Cargo,Port of Tauranga,Tauranga,General Merchandise,Summer,High,Simple,23.7,169.9,823.0,2.8,5.1,1.5,1,0,0.0,1444.34,0.0,1444.34
Sea Freight,Lyttelton Port,Auckland,Bulk,Spring,High,Moderate,9.6,1762.7,198.0,1.02,2.58,1.2,0,0,0.0,2115.24,0.0,2115.24
Sea Freight,Port of Auckland,Hamilton,Pharmaceuticals,Spring,Low,Simple,14.4,588.8,2394.0,5.81,2.94,0.1,0,1,33.1,706.61,4169.99,4876.6
Road,Port Otago,Christchurch,Automotive,Spring,Medium,Simple,10.4,192.3,2019.0,1.86,0.79,1.2,1,0,0.0,403.91,0.0,403.91
Rail,Port of Tauranga,Wellington,Refrigerated,Winter,Low,Simple,33.6,1845.9,1911.0,1.04,2.14,2.7,0,1,16.2,3322.63,1279.96,4602.59
Sea Freight,Port of Auckland,Auckland,Refrigerated,Winter,High,Moderate,25.2,1542.9,103.0,1.3,2.38,0.5,0,1,68.8,1851.49,5316.91,7168.4
Sea Freight,Port of Auckland,Christchurch,General Merchandise,Winter,Medium,Simple,9.0,68.6,1580.0,2.25,3.93,0.3,1,1,29.0,82.36,1658.46,1740.82
Air Cargo,Lyttelton Port,Christchurch,Bulk,Summer,Low,Moderate,12.0,745.9,493.0,2.75,0.28,0.2,0,0,0.0,6340.05,0.0,6340.05
Sea Freight,Port Otago,Auckland,Hazardous,Winter,Low,Moderate,14.5,274.1,1671.0,0.73,3.19,0.7,0,1,35.1,328.95,1595.42,1924.37
Sea Freight,Port of Tauranga,Dunedin,Refrigerated,Summer,Medium,Moderate,15.6,659.4,1572.0,4.42,1.58,3.0,1,1,28.8,791.25,2534.8,3326.05
Sea Freight,Port of Auckland,Wellington,Automotive,Autumn,High,Simple,10.2,312.0,2137.0,2.22,3.65,0.8,1,0,0.0,374.39,0.0,374.39
Road,Port Otago,Wellington,General Merchandise,Spring,Medium,Moderate,20.7,353.7,676.0,1.19,1.62,0.9,0,0,0.0,742.76,0.0,742.76
Air Cargo,Lyttelton Port,Christchurch,General Merchandise,Autumn,High,Simple,23.7,786.7,117.0,1.86,5.42,1.5,1,0,0.0,6687.34,0.0,6687.34
Sea Freight,Port of Tauranga,Auckland,General Merchandise,Spring,Medium,Complex,18.0,669.2,2290.0,5.0,3.92,1.4,0,0,0.0,803.09,0.0,803.09
Sea Freight,Port of Tauranga,Tauranga,General Merchandise,Autumn,Medium,Moderate,17.5,452.3,2276.0,5.05,3.46,0.6,1,1,26.1,542.73,1541.49,2084.23
Sea Freight,Port of Auckland,Wellington,General Merchandise,Autumn,Medium,Simple,12.5,141.0,1167.0,3.01,0.71,0.5,0,0,0.0,169.25,0.0,169.25
Air Cargo,Lyttelton Port,Auckland,Hazardous,Winter,Medium,Complex,14.2,2840.0,241.0,2.13,2.98,0.8,0,0,0.0,24140.25,0.0,24140.25
Sea Freight,Port of Tauranga,Wellington,Refrigerated,Spring,Medium,Moderate,17.2,203.5,1270.0,0.33,1.59,0.2,0,0,0.0,244.22,0.0,244.22
Sea Freight,Wellington Port,Christchurch,General Merchandise,Winter,High,Simple,17.9,852.2,1334.0,0.48,4.07,2.7,2,1,35.1,1022.6,2324.62,3347.22
Road,Port of Tauranga,Christchurch,Bulk,Spring,Medium,Simple,16.0,119.1,2063.0,1.25,2.25,2.4,0,0,0.0,250.1,0.0,250.1
Sea Freight,Port of Tauranga,Hamilton,General Merchandise,Summer,Medium,Moderate,22.9,982.6,1807.0,2.06,2.31,0.3,0,0,0.0,1179.13,0.0,1179.13
Air Cargo,Port of Tauranga,Auckland,Bulk,Spring,High,Complex,19.2,129.7,223.0,5.66,1.53,2.8,1,0,0.0,1102.57,0.0,1102.57
Sea Freight,Port Otago,Auckland,Refrigerated,Summer,High,Complex,23.8,258.6,1778.0,1.92,2.81,2.8,0,0,0.0,310.3,0.0,310.3
Sea Freight,Port Otago,Hamilton,Hazardous,Spring,High,Moderate,16.6,883.0,383.0,2.4,0.98,1.6,1,1,20.6,1059.6,1302.81,2362.4
Sea Freight,Port of Tauranga,Auckland,Pharmaceuticals,Autumn,Medium,Simple,16.6,316.1,269.0,2.06,3.46,0.4,0,0,0.0,379.29,0.0,379.29
Road,Lyttelton Port,Dunedin,General Merchandise,Spring,Low,Moderate,22.0,658.9,1027.0,0.22,4.85,0.7,1,0,0.0,1383.66,0.0,1383.66
Road,Port of Tauranga,Auckland,Hazardous,Winter,High,Moderate,11.3,156.4,240.0,2.88,3.15,0.3,3,0,0.0,328.38,0.0,328.38
Road,Port of Tauranga,Dunedin,Automotive,Summer,Medium,Simple,42.0,230.9,2082.0,0.41,4.69,0.3,0,1,21.4,484.93,976.27,1461.2
Sea Freight,Port of Auckland,Wellington,Hazardous,Spring,Medium,Simple,12.5,1108.7,1185.0,4.8,4.41,3.1,0,0,0.0,1330.48,0.0,1330.48
Air Cargo,Port of Tauranga,Christchurch,General Merchandise,Summer,High,Moderate,12.0,78.6,1488.0,2.29,5.29,1.3,0,0,0.0,668.24,0.0,668.24
Sea Freight,Port of Auckland,Auckland,Refrigerated,Summer,Low,Complex,23.3,144.8,1463.0,5.09,1.41,1.0,0,1,44.9,173.82,3378.5,3552.31
Sea Freight,Port Otago,Auckland,Bulk,Spring,High,Moderate,19.7,243.6,2446.0,1.16,0.31,1.2,0,0,0.0,292.33,0.0,292.33
Road,Port of Auckland,Auckland,Automotive,Summer,Low,Simple,20.9,66.3,2294.0,2.82,1.83,3.0,2,1,25.6,139.27,1856.01,1995.28
Sea Freight,Wellington Port,Auckland,General Merchandise,Summer,High,Simple,16.8,130.2,2130.0,1.5,2.66,0.6,1,1,20.9,156.23,1295.07,1451.3
Sea Freight,Port of Tauranga,Wellington,General Merchandise,Winter,High,Complex,11.5,314.4,989.0,1.9,3.02,6.0,1,1,41.7,377.22,2247.0,2624.22
Sea Freight,Lyttelton Port,Christchurch,Refrigerated,Spring,High,Moderate,29.1,128.0,405.0,3.07,0.56,0.6,0,0,0.0,153.62,0.0,153.62
Sea Freight,Port of Tauranga,Christchurch,General Merchandise,Summer,High,Simple,22.9,1658.6,1500.0,6.55,5.63,2.0,1,0,0.0,1990.37,0.0,1990.37
Sea Freight,Port of Auckland,Hamilton,General Merchandise,Winter,Low,Moderate,13.0,104.7,1129.0,1.69,2.21,1.5,1,0,0.0,125.62,0.0,125.62
Air Cargo,Port of Tauranga,Christchurch,General Merchandise,Winter,High,Complex,22.1,1628.5,603.0,4.03,0.47,1.6,0,0,0.0,13842.52,0.0,13842.52
Sea Freight,Port of Auckland,Christchurch,General Merchandise,Spring,Medium,Complex,13.4,1434.7,289.0,0.87,3.66,3.4,0,0,0.0,1721.58,0.0,1721.58
Road,Lyttelton Port,Wellington,General Merchandise,Spring,High,Moderate,14.0,135.0,1118.0,5.87,3.27,3.2,1,1,35.1,283.43,1940.54,2223.97
Road,Port of Tauranga,Wellington,Pharmaceuticals,Spring,Low,Simple,14.4,70.4,1645.0,1.86,0.51,3.3,1,0,0.0,147.86,0.0,147.86
Sea Freight,Lyttelton Port,Wellington,General Merchandise,Winter,Medium,Moderate,12.6,91.0,1582.0,2.16,1.06,0.9,0,0,0.0,109.23,0.0,109.23
Sea Freight,Port of Auckland,Dunedin,General Merchandise,Autumn,Medium,Simple,16.6,764.0,1946.0,3.49,5.41,2.3,0,0,0.0,916.82,0.0,916.82
Sea Freight,Port of Auckland,Auckland,General Merchandise,Summer,High,Complex,23.0,937.8,1193.0,2.37,3.27,0.6,0,0,0.0,1125.35,0.0,1125.35
Air Cargo,Port of Tauranga,Auckland,Pharmaceuticals,Winter,Medium,Simple,19.0,825.4,838.0,3.27,2.75,1.2,1,0,0.0,7016.27,0.0,7016.27
Sea Freight,Wellington Port,Christchurch,Bulk,Spring,High,Moderate,20.8,673.8,1370.0,4.56,4.19,1.1,0,0,0.0,808.55,0.0,808.55
Air Cargo,Lyttelton Port,Auckland,Bulk,Winter,High,Moderate,17.7,203.6,2439.0,0.71,2.59,0.5,1,0,0.0,1730.53,0.0,1730.53
Sea Freight,Port of Tauranga,Dunedin,General Merchandise,Summer,Medium,Moderate,8.3,1520.8,160.0,1.23,3.57,4.7,0,0,0.0,1825.02,0.0,1825.02
Air Cargo,Port of Tauranga,Dunedin,Automotive,Autumn,Low,Moderate,36.7,367.5,1345.0,0.77,1.44,0.8,0,0,0.0,3123.48,0.0,3123.48
Sea Freight,Port of Auckland,Auckland,Refrigerated,Winter,Low,Simple,24.6,3475.2,857.0,5.09,0.79,1.1,0,0,0.0,4170.25,0.0,4170.25
Sea Freight,Wellington Port,Auckland,General Merchandise,Winter,Medium,Moderate,18.0,438.7,308.0,3.53,0.63,1.8,0,0,0.0,526.47,0.0,526.47
Rail,Lyttelton Port,Wellington,Hazardous,Winter,Medium,Simple,11.1,294.1,1115.0,2.18,0.58,0.6,1,0,0.0,529.45,0.0,529.45
Road,Port of Auckland,Christchurch,Automotive,Winter,Low,Simple,20.5,1847.3,1621.0,6.86,1.88,0.9,0,0,0.0,3879.43,0.0,3879.43
Sea Freight,Port of Tauranga,Auckland,Bulk,Summer,Medium,Complex,16.2,720.4,1344.0,5.5,2.29,2.3,0,1,24.7,864.46,1138.2,2002.65
Road,Port of Auckland,Hamilton,Automotive,Spring,Medium,Moderate,17.3,1073.7,121.0,4.76,1.61,2.3,1,0,0.0,2254.72,0.0,2254.72
Air Cargo,Wellington Port,Christchurch,Pharmaceuticals,Winter,Low,Moderate,22.8,469.9,1469.0,5.54,1.82,4.2,0,0,0.0,3994.47,0.0,3994.47
Road,Port of Auckland,Wellington,General Merchandise,Summer,High,Moderate,18.6,1793.7,618.0,3.26,2.36,2.5,1,1,16.6,3766.76,1174.11,4940.87
Road,Lyttelton Port,Auckland,Refrigerated,Autumn,High,Moderate,26.5,2048.2,887.0,4.04,1.95,0.3,0,0,0.0,4301.12,0.0,4301.12
Sea Freight,Port of Auckland,Hamilton,General Merchandise,Spring,Medium,Moderate,13.8,509.3,815.0,1.96,1.4,1.0,0,0,0.0,611.1,0.0,611.1
Sea Freight,Lyttelton Port,Auckland,Automotive,Spring,High,Moderate,9.5,270.3,2153.0,2.11,0.56,2.3,0,1,60.5,324.37,2745.19,3069.56
Sea Freight,Lyttelton Port,Dunedin,General Merchandise,Autumn,High,Complex,15.9,884.6,167.0,2.12,0.5,2.5,1,0,0.0,1061.46,0.0,1061.46
Air Cargo,Lyttelton Port,Wellington,Automotive,Summer,Medium,Simple,14.0,2523.5,903.0,5.16,0.58,4.3,1,0,0.0,21449.91,0.0,21449.91
Air Cargo,Lyttelton Port,Christchurch,Refrigerated,Summer,Medium,Moderate,19.4,829.2,1017.0,1.18,1.54,5.3,0,0,0.0,7048.49,0.0,7048.49
Sea Freight,Port Otago,Dunedin,Refrigerated,Autumn,Low,Moderate,12.0,2517.2,1566.0,0.48,2.54,1.0,1,1,32.9,3020.6,2942.72,5963.32
Sea Freight,Port of Auckland,Dunedin,General Merchandise,Winter,High,Simple,13.8,387.0,1983.0,2.3,1.93,3.4,1,1,65.3,464.45,3326.27,3790.72
Road,Port of Auckland,Wellington,Refrigerated,Winter,High,Simple,19.7,2022.8,1833.0,1.52,4.0,4.3,0,0,0.0,4247.94,0.0,4247.94
Rail,Port of Auckland,Auckland,Automotive,Winter,High,Complex,14.8,145.5,1894.0,3.95,1.61,0.3,0,0,0.0,261.97,0.0,261.97
Air Cargo,Wellington Port,Hamilton,General Merchandise,Winter,Medium,Simple,23.5,405.6,521.0,4.05,1.35,5.3,0,0,0.0,3447.38,0.0,3447.38
Sea Freight,Port of Tauranga,Wellington,Refrigerated,Summer,Medium,Simple,12.1,595.7,2284.0,4.01,0.62,0.5,0,0,0.0,714.86,0.0,714.86
Sea Freight,Lyttelton Port,Auckland,General Merchandise,Summer,Medium,Simple,10.8,897.0,1065.0,1.16,2.67,1.0,0,0,0.0,1076.4,0.0,1076.4
Sea Freight,Lyttelton Port,Dunedin,Refrigerated,Autumn,High,Simple,20.6,328.7,77.0,0.81,2.99,3.2,0,0,0.0,394.4,0.0,394.4
Rail,Port of Auckland,Auckland,General Merchandise,Summer,Medium,Complex,10.3,2114.1,1687.0,4.42,2.65,2.4,0,0,0.0,3805.45,0.0,3805.45
Sea Freight,Port of Auckland,Auckland,General Merchandise,Summer,Medium,Simple,8.7,1920.5,1530.0,0.83,1.97,3.5,0,0,0.0,2304.65,0.0,2304.65
Air Cargo,Port of Auckland,Auckland,Automotive,Winter,High,Simple,10.8,1334.9,359.0,0.31,3.5,0.8,0,0,0.0,11346.66,0.0,11346.66
Sea Freight,Port of Tauranga,Christchurch,Refrigerated,Spring,Medium,Moderate,24.2,147.2,2402.0,5.06,4.2,2.9,0,0,0.0,176.59,0.0,176.59
Air Cargo,Port of Auckland,Christchurch,General Merchandise,Spring,Medium,Simple,13.1,115.2,1426.0,2.5,2.79,3.4,0,0,0.0,979.37,0.0,979.37
Air Cargo,Port of Auckland,Wellington,Hazardous,Spring,Low,Moderate,14.1,601.5,1200.0,1.59,2.31,2.4,1,1,10.0,5113.04,865.67,5978.71
Road,Port Otago,Wellington,General Merchandise,Winter,Low,Moderate,21.2,1209.7,1025.0,4.78,0.17,2.0,1,0,0.0,2540.38,0.0,2540.38
Sea Freight,Wellington Port,Wellington,General Merchandise,Winter,Medium,Moderate,22.8,155.2,564.0,3.12,3.29,3.8,1,1,28.4,186.26,1633.43,1819.68
Sea Freight,Port of Auckland,Hamilton,Hazardous,Autumn,Low,Moderate,21.4,870.5,2384.0,0.3,3.29,2.6,0,1,38.3,1044.63,1774.67,2819.29
Sea Freight,Port of Auckland,Auckland,General Merchandise,Spring,Medium,Simple,20.6,650.4,1770.0,3.61,0.18,0.4,0,0,0.0,780.45,0.0,780.45
Rail,Port of Auckland,Tauranga,Bulk,Summer,Low,Simple,12.9,1085.7,1441.0,1.9,0.47,2.2,0,0,0.0,1954.21,0.0,1954.21
Road,Lyttelton Port,Auckland,Refrigerated,Summer,High,Simple,16.8,507.3,1596.0,1.77,2.07,2.2,0,0,0.0,1065.28,0.0,1065.28
Air Cargo,Port Otago,Tauranga,Bulk,Autumn,Medium,Simple,10.3,995.5,2109.0,4.63,1.21,1.7,0,0,0.0,8461.74,0.0,8461.74
Air Cargo,Port of Auckland,Auckland,Pharmaceuticals,Spring,Medium,Moderate,14.4,189.1,1608.0,0.39,2.53,2.0,0,0,0.0,1607.44,0.0,1607.44
Air Cargo,Port of Auckland,Hamilton,General Merchandise,Spring,Medium,Simple,9.2,243.2,331.0,4.32,4.21,1.1,2,0,0.0,2067.57,0.0,2067.57
Sea Freight,Lyttelton Port,Auckland,Refrigerated,Spring,High,Moderate,23.5,1919.2,1758.0,1.61,3.27,4.2,1,0,0.0,2303.03,0.0,2303.03
Rail,Lyttelton Port,Auckland,Refrigerated,Winter,High,Simple,14.1,369.6,1434.0,0.8,0.45,0.4,1,0,0.0,665.35,0.0,665.35
Sea Freight,Port of Auckland,Dunedin,General Merchandise,Winter,High,Simple,16.7,3437.2,2418.0,2.89,3.54,1.5,1,0,0.0,4124.65,0.0,4124.65
Sea Freight,Lyttelton Port,Dunedin,Automotive,Spring,High,Simple,13.4,87.8,1848.0,1.08,1.14,3.7,0,0,0.0,105.41,0.0,105.41
Air Cargo,Port of Auckland,Wellington,Bulk,Winter,High,Simple,24.7,597.9,893.0,1.06,2.85,0.9,0,0,0.0,5082.54,0.0,5082.54
Sea Freight,Port of Tauranga,Hamilton,Refrigerated,Spring,Medium,Moderate,10.0,364.4,382.0,3.67,1.27,3.6,2,1,31.6,437.3,3087.57,3524.88
Sea Freight,Lyttelton Port,Christchurch,Hazardous,Autumn,Low,Moderate,11.1,4460.2,1232.0,1.4,0.6,4.0,0,0,0.0,5352.25,0.0,5352.25
Road,Port Otago,Dunedin,General Merchandise,Autumn,Medium,Moderate,16.5,3736.9,1714.0,1.95,4.53,2.8,0,0,0.0,7847.54,0.0,7847.54
Sea Freight,Port of Tauranga,Wellington,Hazardous,Spring,Low,Complex,16.8,264.6,484.0,0.51,3.79,0.9,0,0,0.0,317.47,0.0,317.47
Air Cargo,Wellington Port,Christchurch,Bulk,Summer,Low,Moderate,23.6,298.8,1641.0,3.7,0.73,0.1,1,0,0.0,2539.53,0.0,2539.53
Sea Freight,Port of Tauranga,Wellington,Hazardous,Spring,Medium,Moderate,17.8,1158.0,2073.0,2.4,1.84,1.2,1,1,31.7,1389.58,1833.52,3223.11
Sea Freight,Lyttelton Port,Wellington,General Merchandise,Winter,High,Simple,16.8,1813.5,435.0,4.52,0.96,3.3,2,0,0.0,2176.15,0.0,2176.15
Sea Freight,Port of Tauranga,Dunedin,Bulk,Spring,High,Simple,12.5,921.8,1779.0,3.03,3.03,1.2,1,1,22.8,1106.15,1409.41,2515.56
Sea Freight,Port Otago,Auckland,Refrigerated,Autumn,Low,Moderate,24.7,1650.3,217.0,2.99,1.35,0.7,1,1,83.3,1980.31,6803.61,8783.92
Road,Port Otago,Auckland,Hazardous,Winter,High,Simple,15.2,102.3,69.0,1.52,2.28,0.9,0,0,0.0,214.85,0.0,214.85
Sea Freight,Port of Auckland,Christchurch,Refrigerated,Autumn,Medium,Simple,12.7,868.5,130.0,2.26,6.0,0.2,1,1,41.9,1042.2,3543.8,4586.0
Air Cargo,Wellington Port,Christchurch,Refrigerated,Winter,High,Simple,12.1,1013.6,1597.0,1.5,0.57,2.3,0,0,0.0,8615.89,0.0,8615.89
Air Cargo,Port Otago,Auckland,Bulk,Winter,Low,Simple,16.7,218.9,2435.0,3.08,3.52,0.1,0,0,0.0,1860.58,0.0,1860.58
Air Cargo,Lyttelton Port,Wellington,Automotive,Spring,Medium,Moderate,9.9,1254.0,1940.0,2.14,1.7,2.4,0,0,0.0,10658.62,0.0,10658.62
Rail,Port of Auckland,Tauranga,General Merchandise,Winter,Low,Simple,10.1,2359.7,673.0,1.61,1.82,2.0,0,0,0.0,4247.5,0.0,4247.5
Road,Port Otago,Auckland,Pharmaceuticals,Autumn,High,Simple,10.1,1876.0,226.0,2.85,2.39,0.8,0,0,0.0,3939.52,0.0,3939.52
Sea Freight,Port Otago,Christchurch,Hazardous,Spring,High,Simple,30.0,274.8,1561.0,5.62,1.85,1.4,0,0,0.0,329.75,0.0,329.75
Sea Freight,Port of Auckland,Hamilton,Bulk,Autumn,Medium,Moderate,27.0,363.2,58.0,1.39,1.76,0.8,0,1,25.4,435.89,1155.21,1591.1
Sea Freight,Wellington Port,Wellington,Automotive,Autumn,Low,Moderate,11.8,603.9,1992.0,1.66,2.81,0.9,0,0,0.0,724.68,0.0,724.68
Air Cargo,Port of Auckland,Tauranga,Refrigerated,Summer,Medium,Simple,17.9,187.9,646.0,2.0,3.96,1.4,0,0,0.0,1597.35,0.0,1597.35
Sea Freight,Port of Auckland,Hamilton,Automotive,Spring,Low,Moderate,20.8,2512.5,783.0,5.08,1.62,2.1,0,0,0.0,3014.97,0.0,3014.97
Air Cargo,Port of Tauranga,Wellington,General Merchandise,Autumn,Medium,Simple,18.8,191.0,893.0,1.06,4.02,12.7,0,0,0.0,1623.54,0.0,1623.54
Air Cargo,Port of Tauranga,Christchurch,General Merchandise,Autumn,Medium,Moderate,10.8,1196.5,1921.0,0.65,2.83,1.1,0,0,0.0,10169.83,0.0,10169.83
Sea Freight,Lyttelton Port,Hamilton,Bulk,Spring,Medium,Moderate,12.3,384.1,701.0,6.43,1.6,2.1,1,0,0.0,460.97,0.0,460.97
Road,Port of Auckland,Christchurch,Automotive,Spring,High,Complex,17.8,732.1,747.0,6.51,1.33,0.9,1,0,0.0,1537.47,0.0,1537.47
Sea Freight,Wellington Port,Dunedin,Automotive,Summer,High,Simple,10.0,88.7,1375.0,3.98,0.9,0.5,2,1,33.5,106.39,2212.19,2318.58
Sea Freight,Port of Auckland,Wellington,Bulk,Spring,Low,Simple,24.1,233.5,1184.0,5.29,1.75,0.2,0,0,0.0,280.25,0.0,280.25
Road,Port of Auckland,Auckland,Hazardous,Spring,Low,Simple,10.7,520.2,2391.0,3.44,1.24,1.3,0,1,7.6,1092.32,351.19,1443.51
Air Cargo,Port of Auckland,Auckland,Refrigerated,Summer,Medium,Simple,17.1,954.6,695.0,3.56,3.38,1.4,0,0,0.0,8113.73,0.0,8113.73
Air Cargo,Port of Tauranga,Auckland,Pharmaceuticals,Spring,High,Simple,22.0,1252.5,275.0,3.35,4.86,1.9,0,0,0.0,10646.12,0.0,10646.12
Sea Freight,Wellington Port,Auckland,Refrigerated,Winter,High,Simple,23.0,74.5,1375.0,3.29,3.59,1.8,1,0,0.0,89.38,0.0,89.38
Sea Freight,Lyttelton Port,Dunedin,Bulk,Winter,Low,Simple,23.2,182.4,502.0,5.86,1.39,0.1,0,0,0.0,218.83,0.0,218.83
Road,Port Otago,Christchurch,Hazardous,Autumn,High,Complex,12.5,1096.8,1063.0,4.01,3.35,0.8,1,1,25.4,2303.38,1564.92,3868.3
Road,Port of Auckland,Christchurch,Bulk,Winter,Low,Simple,13.0,1391.6,509.0,4.33,1.48,0.7,2,0,0.0,2922.26,0.0,2922.26
Air Cargo,Port of Tauranga,Christchurch,Refrigerated,Summer,High,Complex,18.4,265.9,2208.0,0.95,1.1,3.0,0,0,0.0,2260.56,0.0,2260.56
Sea Freight,Port of Tauranga,Dunedin,Pharmaceuticals,Spring,Medium,Moderate,20.6,258.7,852.0,2.72,1.09,2.0,0,0,0.0,310.48,0.0,310.48
Air Cargo,Port of Tauranga,Wellington,Hazardous,Summer,Low,Complex,20.2,123.7,1948.0,1.91,4.7,3.4,0,0,0.0,1051.6,0.0,1051.6
Sea Freight,Port of Auckland,Dunedin,Pharmaceuticals,Autumn,High,Complex,21.1,180.3,2374.0,5.45,1.81,1.9,0,1,32.3,216.35,4050.66,4267.01
Sea Freight,Lyttelton Port,Wellington,General Merchandise,Summer,High,Moderate,19.3,56.4,2354.0,2.77,1.91,2.2,0,1,33.1,67.73,1493.19,1560.91
Rail,Port of Tauranga,Tauranga,Hazardous,Spring,Low,Moderate,18.0,762.9,1336.0,2.51,1.5,0.6,0,1,29.4,1373.31,1371.88,2745.19
Sea Freight,Lyttelton Port,Hamilton,Bulk,Autumn,Medium,Simple,12.9,1923.8,2459.0,3.3,5.23,3.1,1,0,0.0,2308.58,0.0,2308.58
Rail,Port of Tauranga,Auckland,Bulk,Autumn,Medium,Moderate,18.2,179.6,1657.0,3.84,1.16,0.2,0,0,0.0,323.31,0.0,323.31
Sea Freight,Port of Auckland,Christchurch,Automotive,Autumn,Medium,Complex,28.7,1163.7,365.0,1.83,6.7,0.4,0,0,0.0,1396.4,0.0,1396.4
